title,description,url,text_clean
Pilot praises RAF Lakenheath plane spotter for saving his life,Ian Simpson alerts an airbase after seeing sparks and flames coming from the rear of a jet.,https://www.bbc.co.uk/news/uk-england-suffolk-57927801,"['pilot', 'praises', 'raf', 'lakenheath', 'plane', 'spotter', 'saving', 'simpson', 'alerts', 'airbase', 'seeing', 'sparks', 'flames', 'coming', 'rear', 'jet']"
Hottest day of the year so far in Scotland,"Temperatures have soared across the country, including a 29C hot spot in Threave, near Castle Douglas.",https://www.bbc.co.uk/news/uk-scotland-south-scotland-57933457,"['hottest', 'day', 'year', 'far', 'soared', 'across', 'country', 'including', 'hot', 'spot', 'threave', 'near', 'castle', 'douglas']"
Police Federation says it has no confidence in Patel amid pay row,"The Police Federation describes a pay freeze for this year as an ""insult"" to officers.",https://www.bbc.co.uk/news/uk-politics-57933129,"['police', 'federation', 'says', 'confidence', 'patel', 'amid', 'pay', 'police', 'federation', 'describes', 'pay', 'freeze', 'year', 'insult', 'officers']"
The Hundred: White cards held up by umpires explained,What are the white cards held up by umpires in The Hundred all about? BBC Sport explains...,https://www.bbc.co.uk/sport/cricket/57931905,"['hundred', 'white', 'cards', 'held', 'umpires', 'white', 'cards', 'held', 'umpires', 'hundred', 'bbc', 'sport', 'explains']"
Covid cases at record levels for 20 to 29-year-olds,"Everyone in this age group should be cautious when socialising, officials say, and get two jabs.",https://www.bbc.co.uk/news/health-57933108,"['covid', 'cases', 'record', 'levels', 'age', 'group', 'cautious', 'socialising', 'officials', 'say', 'get', 'two', 'jabs']"
2021/07/22 16:00 GMT,The latest five minute news bulletin from BBC World Service.,https://www.bbc.co.uk/programmes/w172xzjmw7bj46k,"['latest', 'five', 'minute', 'news', 'bulletin', 'bbc', 'world', 'service']"
Dawn Butler thrown out of Commons for PM lie accusation,Dawn Butler breaks parliamentary rules by accusing Boris Johnson of lying.,https://www.bbc.co.uk/news/uk-politics-57927398,"['dawn', 'butler', 'thrown', 'commons', 'pm', 'lie', 'butler', 'breaks', 'parliamentary', 'rules', 'accusing', 'boris', 'johnson', 'lying']"
"Tokyo Olympics: A Games in a pandemic, new sports, British medal hopes and global stars to watch","With the opening ceremony set for Friday, BBC Sport previews the Tokyo 2020 Olympics - a Games like no other.",https://www.bbc.co.uk/sport/olympics/57865245,"['tokyo', 'olympics', 'games', 'pandemic', 'new', 'sports', 'british', 'medal', 'hopes', 'global', 'stars', 'opening', 'ceremony', 'set', 'friday', 'bbc', 'sport', 'previews', 'tokyo', 'olympics', 'games', 'like']"
Eric Clapton refuses to play venues requiring vaccines for concertgoers,The UK recently announced that proof of vaccination will soon be required at venues and nightclubs.,https://www.bbc.co.uk/news/world-us-canada-57934379,"['eric', 'clapton', 'refuses', 'play', 'venues', 'requiring', 'vaccines', 'uk', 'recently', 'announced', 'proof', 'vaccination', 'soon', 'required', 'venues', 'nightclubs']"
Dawn Butler suspended from Commons for calling PM liar,An MP refuses to withdraw her claims that Boris Johnson lied to Parliament and is ordered out of the Commons.,https://www.bbc.co.uk/news/av/uk-politics-57935246,"['dawn', 'butler', 'suspended', 'commons', 'calling', 'pm', 'mp', 'refuses', 'withdraw', 'claims', 'boris', 'johnson', 'lied', 'parliament', 'ordered', 'commons']"
Covid in Scotland: Deaths at four-month high despite fall in cases,"Nicola Sturgeon says the deaths of another 22 people are a reminder of the ""toll"" the virus can take.",https://www.bbc.co.uk/news/uk-scotland-57931530,"['covid', 'scotland', 'deaths', 'high', 'despite', 'fall', 'sturgeon', 'says', 'deaths', 'another', 'people', 'reminder', 'toll', 'virus', 'take']"
"Manchester Arena Inquiry: Bomb victims felt abandoned, says sister",Claire Booth vividly describes the horrific aftermath of the 2017 terror attack at Manchester Arena,https://www.bbc.co.uk/news/uk-england-manchester-57933016,"['manchester', 'arena', 'inquiry', 'bomb', 'victims', 'felt', 'abandoned', 'says', 'booth', 'vividly', 'describes', 'horrific', 'aftermath', 'terror', 'attack', 'manchester', 'arena']"
